OPERATOR_ADDRESS,VALIDATOR_NAME,STAKED_AMOUNT,VOTING_POWER,COMMISSION,STATUS
terravaloper1p84hlkya983t2nugr8z6v9upceq4unjja2hfju,nakanodo.xyz 🍋,2000000,0.39,10,Active
terravaloper1gfajnv0ud3r6kecvzzqm5acd2adntvgwmzzr72,infstones,2000000,0.39,8,Active
terravaloper1ysc3qzsqac2tunsmz9uy4gmtjqevvmtxpn0g6l,jesselstake,1930000,0.37,20,Active
terravaloper1uv45luc5fzq66u9enmnv44k8c7j2zuge5kr60r,8moon,1920000,0.37,20,Active
terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,Stakely.io,1910000,0.37,5,Active
terravaloper1ltn4ah8k5a2alm9ekgf0e90zmt26kq6nztzatm,Nexus Event,1900000,0.37,5,Active
terravaloper1u53qwdgafryksqnzq3k7e5eyph7jlh8kgc3va4,Imperator.co,1890000,0.37,5,Active
terravaloper1s0wcr80ud0xd5zwkwg7wkue4wegmtae2tsxsg2,Lunatic Validator,1820000,0.35,20,Active
terravaloper1urzdtmrl3sg3zt65jzr9mw70tsen578w2yfjl4,kytzu,1770000,0.34,10,Active
terravaloper1hy99h5xn44jtn76dla93wsps8h2eqsxqah4zhj,HEX TRUST,1710000,0.33,10,Active
terravaloper1r98p8xdrn68fxslfv3fey5sfuqfs8tuth0m67l,PigCash,1690000,0.33,19,Active
terravaloper1kmgayukw7an8nthaj8qnh9cdwv7pp0rekpjefv,Uranus,1690000,0.33,5,Active
terravaloper17utc33x2x8qxqxhynch45lfa8ecwhawjugsuw5,Noderunners,1670000,0.32,10,Active
terravaloper1pwum4swah9t5mjynalk3f334v4ztxc66k29v25, WhisperNode🤐 | REStake + 100% MEV to Stakers 💵,1630000,0.32,20,Active
terravaloper1l920a79akuc98hz4389axf9ctcymrf5ays578x,WildSage 🧙 0% all 2023!,1460000,0.28,0,Active
terravaloper1jjacfews36euh6apk0w2e432vflyw4rapvlxv6,The Charity Block,1400000,0.27,100,Active
terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9, Lavender.Five Nodes 🐝,1210000,0.23,5,Active
terravaloper1g6pwngzfj73wnxm7y5gae0thylphugumc96gh3,Hermes Protocol | Earn airdrops & more!,1170000,0.23,5,Active
terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv,Active Nodes,963240,0.19,5,Active
terravaloper1dssjvxrvf06mw34jj965c5ca3a45my9yz5dgk8,Legend.X,893380,0.17,20,Active
terravaloper1aprcgxpt7zynnklu5sp2q0f0l3xh8d6lcq4f2f,Un Fuego,892180,0.17,5,Active
terravaloper18kele3jy20uu8ezm8ylcp9tcsqhaup0rt25uu5,StakeMachine,869410,0.17,5,Active
terravaloper1v6pfkm0nxpudgantwxwhz786l8me0wfs4lnpuw,Forbole,845800,0.16,5,Active
terravaloper1d3dgxxsxmlp6txfjegzjqh7tmf9wrlzwqswkz3,WeStaking,738890,0.14,5,Active
