VALIDATOR_NAME,STATUS,OPERATOR_ADDRESS,ASACCOUNT_ADDRESS,VOTING_POWER,STAKED_AMOUNT,SELF_DELEGATION_AMOUNT,COMMISSION
Moonlet,Jailed,terravaloper19qg4kyw7cltfaw5m7yh7cqsygvjgtu35rxr4t6,terra19qg4kyw7cltfaw5m7yh7cqsygvjgtu35rf0gmf,0,0,1,10
Dabu Dabu | 0% fee,Jailed,terravaloper1j2ee3ykhae8na9gq8u4lsamff3armts204eyaq,terra1j2ee3ykhae8na9gq8u4lsamff3armts2064edn,0,0,0,0
RockX,Active,terravaloper17846saa8hspkt2wgqdycd3arxk8ykrusg6h5aa,terra17846saa8hspkt2wgqdycd3arxk8ykrusg4mfdw,0.49,2594852,1,10
TCB @THORmaximalist,Active,terravaloper1kxyzu575tex8dv6d5uk26t4q8x5lusw082w3t8,terra1kxyzu575tex8dv6d5uk26t4q8x5lusw089zvm5,3.55,19050841,1,0
StakeWithUs,Active,terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,terra1wwq9mfkkqfta334d4hcjrjau9y50a4hw33w2av,0.82,4384019,15801,5
Block-Foundry,Active,terravaloper14q4vvp2vtmfcaejx4qy8nw9autudx0zjt30r24,terra14q4vvp2vtmfcaejx4qy8nw9autudx0zjt7r76x,0.84,4474848,1,10
Bit Cat🐱,Inactive,terravaloper1k4ef8m95t7eq522evmmuzvfkpla04pezmu4j7k,terra1k4ef8m95t7eq522evmmuzvfkpla04pezmne0w9,0,0,76.085595,0
waltsoft.money,Inactive,terravaloper1a6n088fsjxp7e63zrh7dvllhelksu6g0wzqal5,terra1a6n088fsjxp7e63zrh7dvllhelksu6g0wdvq08,0,0,4.000001,5
0% Fee to 2025 | Stakewolle.com,Inactive,terravaloper1nk0rv2aa8n5hlyd8s9pj73mvn6kpryfnhwq9h9,terra1nk0rv2aa8n5hlyd8s9pj73mvn6kpryfnhpvc8k,0,0,9,3
Angel Protocol,Active,terravaloper10ge6t62gzesz378e09kkgqvx9ev7tf6xcsrqqu,terra10ge6t62gzesz378e09kkgqvx9ev7tf6xcl0as0,0.56,2976481,1,20
Shigeo808 | Shutting down validator, please redelegate,Jailed,terravaloper1jxlfmwux3veu62n5dl8njqvplajr5ek4xdnv6d,terra1jxlfmwux3veu62n5dl8njqvplajr5ek4xzl327,0,0,0.9999,4
Moon Dog,Active,terravaloper1ygmjw8f34uadvspjfeu7vhptqmp8j925adyusw,terra1ygmjw8f34uadvspjfeu7vhptqmp8j925azgpqa,0.56,2902165,1,10
KuCoin,Jailed,terravaloper183kevvgrqvav9sa0lwzhr54jngxw6sac90jvs2,terra183kevvgrqvav9sa0lwzhr54jngxw6sac9q73qe,2.09,11231325,1.000001,10
01node,Active,terravaloper1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqdnukv,terra1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqzlpxl,1.97,10537683,1,5
Setten,Active,terravaloper14rftkw37eltf74degzajq4s5phg23vjlu9h9as,terra14rftkw37eltf74degzajq4s5phg23vjlu2mcdr,1.36,7378429,1,5
Autism Staking,Active,terravaloper10mmhvx5nrnuye2x9zhe02jcg0hfzzzjlwc0sxw,terra10mmhvx5nrnuye2x9zhe02jcg0hfzzzjlwhrdka,0.45,2325660,102,5
jesselstake,Active,terravaloper1ysc3qzsqac2tunsmz9uy4gmtjqevvmtxpn0g6l,terra1ysc3qzsqac2tunsmz9uy4gmtjqevvmtxpur42v,0.37,1927774,1,20
Stakely.io,Active,terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,terra16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7n7m3g,0.36,1917920,1,5
Interdimensional Cable,Active,terravaloper1qlgyrmaadru03rd9j0w9nr5p2quhthlrhujknq,terra1qlgyrmaadru03rd9j0w9nr5p2quhthlrhn7trn,0.52,2767310,1,10
Luna Rewards,Active,terravaloper1hy8lzd38kp0t8662r2vnxsc4ezs3l74506jx02,terra1hy8lzd38kp0t8662r2vnxsc4ezs3l745047mle,0.59,3112562,369,5
NFTSwitch.xyz w/ Reality Flux,Active,terravaloper1vrkzjujfds9p8t5g0xety3e3ft4dep02etv9le,terra1vrkzjujfds9p8t5g0xety3e3ft4dep02eyqc02,0.57,3074389,200,5
nakanodo.xyz 🍋,Active,terravaloper1p84hlkya983t2nugr8z6v9upceq4unjja2hfju,terra1p84hlkya983t2nugr8z6v9upceq4unjja9m5z0,0.37,2002391,19.998,10
Luna Whale,Active,terravaloper1znh6eq79l3z5l7ctnrjr2d8ksaght25lku6mlw,terra1znh6eq79l3z5l7ctnrjr2d8ksaght25lknkx0a,0.73,3822006,98,20
Hermes Protocol | Earn airdrops & more!,Active,terravaloper1g6pwngzfj73wnxm7y5gae0thylphugumc96gh3,terra1g6pwngzfj73wnxm7y5gae0thylphugumc2k48z,0.22,1134972,300,5
DELIGHT,Active,terravaloper1f6wuq93320s6w7vvnkc0576g9mtqfmz9a8wqxk,terra1f6wuq93320s6w7vvnkc0576g9mtqfmz9agzak9,0.78,4104830,10000,10
Smart Stake,Active,terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,terra188e99yz54744uhr8xjfxmmplhnuw75xeamclej,2.48,11053352,1400,5
Enigma,Active,terravaloper1u8lglu36g5x6shp2xyd35hcs45x9cvmj6tmvd8,terra1u8lglu36g5x6shp2xyd35hcs45x9cvmj6yh3a5,0.54,2805590,96,10
SeltonStake.com,Active,terravaloper14rw9dq3tj9y0k9pg2jquh922fdv5nupr0nn7k8,terra14rw9dq3tj9y0k9pg2jquh922fdv5nupr0ulrx5,0.87,4649154,11,20
StakeLab,Inactive,terravaloper10ahmn0ucd9selcv77rwysx5pvd607z04zde7uh,terra10ahmn0ucd9selcv77rwysx5pvd607z04zz4rvy,0,0,1,0
Humble Beginnings,Active,terravaloper1rj6xj0lfrksr4uecp7n26l4rzmhqcqcaq3z656,terra1rj6xj0lfrksr4uecp7n26l4rzmhqcqcaq7w8yf,0.39,2093898,2000,0
Hex Trust,Inactive,terravaloper1wyycam5xm0hdfe8ekeddwue72fcz4gnjggpgnh,terra1wyycam5xm0hdfe8ekeddwue72fcz4gnjg8d4ry,0,0,1,10
LUNAStaker,Active,terravaloper19kg9ncvkuk08pxz0rnnywh65h5tvux9mlj7tc3,terra19kg9ncvkuk08pxz0rnnywh65h5tvux9mlajkgz,0.61,0,149.5,0
Prism Protocol | Delegate for airdrop,Active,terravaloper18vnm040mwk0d6plc60v5m9h2376gkcphknuwzs,terra18vnm040mwk0d6plc60v5m9h2376gkcphkusnjr,1.33,6848709,10,10
WildSage 🧙 0% all 2023!,Active,terravaloper1l920a79akuc98hz4389axf9ctcymrf5ays578x,terra1l920a79akuc98hz4389axf9ctcymrf5aylcrh4,0.28,1464000,2,0
