VALIDATOR_NAME,STATUS,OPERATOR_ADDRESS,ASACCOUNT_ADDRESS,VOTING_POWER,STAKED_AMOUNT,SELF_DELEGATION_AMOUNT,COMMISSION
Uranus,Active,terravaloper1kmgayukw7an8nthaj8qnh9cdwv7pp0rekpjefv,terra1kmgayukw7an8nthaj8qnh9cdwv7pp0rekw7yel,0.33,1728453,1,5
FreshLUNA.com,Active,terravaloper1ygwhuksjq3nymd9n8kmceaxd3vxv97u7ja33aj,terra1ygwhuksjq3nymd9n8kmceaxd3vxv97u7jjavdp,0.83,4311050,99,10
Monster Node,Active,terravaloper1xgejf5yvc2ff4ddrd4nuvcmexx5sn94aaz84tc,terra1xgejf5yvc2ff4ddrd4nuvcmexx5sn94aadtgmt,0.6,3207590,1627.634433,10
Lunatic Validator,Active,terravaloper1s0wcr80ud0xd5zwkwg7wkue4wegmtae2tsxsg2,terra1s0wcr80ud0xd5zwkwg7wkue4wegmtae2tl2dce,0.53,1815303,95,20
0base.vc,Active,terravaloper1plxp55happ379eevsnk2xeuwzsrldsmqduyu36,terra1plxp55happ379eevsnk2xeuwzsrldsmqdngppf,0.76,4067294,1601,9
Legend.X,Active,terravaloper1dssjvxrvf06mw34jj965c5ca3a45my9yz5dgk8,terra1dssjvxrvf06mw34jj965c5ca3a45my9yzmp4x5,0.17,893382,1,20
USTC Buyback 🔥 | Terra-Aventura 🌖,Jailed,terravaloper15gs5cy87n5jxddf4vq94efre9uwkrt9xaaw9z7,terra15gs5cy87n5jxddf4vq94efre9uwkrt9xajzcjd,0,0,0,2
Mr.K,Active,terravaloper16a0x4us8x6yg2xj5upx88hcum2cymknekepvgs,terra16a0x4us8x6yg2xj5upx88hcum2cymknekkd3cr,0.41,2205576,98.955909,10
ShapeShift DAO,Jailed,terravaloper1xvcllwusyx7pf539es7f8dsdnffmur6xz32lm7,terra1xvcllwusyx7pf539es7f8dsdnffmur6xz7xztd,0,0,1,5
CAPAPULT,Active,terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,terra1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlj6nna,1.04,5553765,1,5
MANTRA DAO,Active,terravaloper1yej82e2zursn2f56vgxfvmydwj9f2awluhusqh,terra1yej82e2zursn2f56vgxfvmydwj9f2awlucsdsy,0.48,2559289,1,2
Interstellar Lounge 🥃 🍸 🍹,Active,terravaloper1kepapcnh78hsk8nx2u9nv05rn7vjwwf4fr59zu,terra1kepapcnh78hsk8nx2u9nv05rn7vjwwf4fvccj0,1.38,7380059,100,5
CoinBevy,Jailed,terravaloper1euux2fewt2vqalvef0mgvsw4u3dkd0c8mese63,terra1euux2fewt2vqalvef0mgvsw4u3dkd0c8mkuy2z,0,0,1,10
TERRA-FIRMA,Active,terravaloper1s6j9wxyprdsxmdf6mvsegsldvmtk0p92pa7aey,terra1s6j9wxyprdsxmdf6mvsegsldvmtk0p92pjjqfh,0.93,4986702,1,5
polkachu.com,Active,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh,terra1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v34lxzy,2.9,8751971,150,0
coreweave,Jailed,terravaloper1rgsr8ks5lj5lcrrnlarmcwxlgtwn8mkyrz6unf,terra1rgsr8ks5lj5lcrrnlarmcwxlgtwn8mkyrdkpr6,0,3492408,8789.871,5
Anchor Staking,Jailed,terravaloper1r5np29ppsh7l3zq2qjsegwak7t6y0h97l79dr2,terra1r5np29ppsh7l3zq2qjsegwak7t6y0h97l3fsne,0,0,0,10
Talis Protocol,Active,terravaloper1vjr8z6g38f39j23y55pdektc3l2uqc9y02f9k5,terra1vjr8z6g38f39j23y55pdektc3l2uqc9y099cx8,0.43,2313313,1,10
RockawayX Infra,Active,terravaloper1yw20fl3fg0hlsq4xkd8w9wfzddpqzuyd74j25r,terra1yw20fl3fg0hlsq4xkd8w9wfzddpqzuyd767hys,0.48,2449140,1,20
TerRarity.io,Active,terravaloper1net6ytfaamgcrlrjgnkyjp6zkjxrsgg5vrnxlz,terra1net6ytfaamgcrlrjgnkyjp6zkjxrsgg5vvlm03,0.64,3134885,108.391213,10
Forbole,Active,terravaloper1v6pfkm0nxpudgantwxwhz786l8me0wfs4lnpuw,terra1v6pfkm0nxpudgantwxwhz786l8me0wfs4sluva,0.14,748690,99,0
AuraStake,Active,terravaloper1ulwqct0df2xuuaqzcq4yax3msdqgew6ehhcl7r,terra1ulwqct0df2xuuaqzcq4yax3msdqgew6ehc5zws,0.45,2445190,90,5
KK Validator,Active,terravaloper1lnlasdy5r2hdjz3ta2r86ufkz309zdjvqshec4,terra1lnlasdy5r2hdjz3ta2r86ufkz309zdjvqlmygx,0.56,2871432,1,5
ChainofSecrets.org,Jailed,terravaloper1ekq8xuypdxtf3nfmffmydnhny59pjuy0p8wpn7,terra1ekq8xuypdxtf3nfmffmydnhny59pjuy0pgzurd,0,2363510,304.9695,2
StakeBin,Active,terravaloper13n2fsvfvj28eqvkjejhqlxf3pch3muxkxudacc,terra13n2fsvfvj28eqvkjejhqlxf3pch3muxkxnpqgt,0.61,3356634,560,5
infstones,Active,terravaloper1gfajnv0ud3r6kecvzzqm5acd2adntvgwmzzr72,terra1gfajnv0ud3r6kecvzzqm5acd2adntvgwmdw7we,0,2000038,5,8
Terran One,Active,terravaloper1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uptstn,terra1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uw8dmq,2.22,11572779,1,10
Inotel,Active,terravaloper10qz4hfudfnllkgvhnm7k40dewg27nhxz3yn895,terra10qz4hfudfnllkgvhnm7k40dewg27nhxz3tl648,1.57,8148780,1,10
Flipside,Active,terravaloper1mh0zq89rggupayas2jlfffcyshaf4ep2j09jyv,terra1mh0zq89rggupayas2jlfffcyshaf4ep2jqf05l,0.92,4912945,10,20
Zeus Staking,Jailed,terravaloper1h0z9l64y6alk2kzk8c6z5hq2c40peuhvjg2g0k,terra1h0z9l64y6alk2kzk8c6z5hq2c40peuhvj8x4l9,0,0,0,0
Stake N Shake,Active,terravaloper1xy9c3fw8am0z942qa73e6gq89fhqzvyfv4qq6f,terra1xy9c3fw8am0z942qa73e6gq89fhqzvyfv6va26,0.39,2216917,1,5
WeStaking,Active,terravaloper1d3dgxxsxmlp6txfjegzjqh7tmf9wrlzwqswkz3,terra1d3dgxxsxmlp6txfjegzjqh7tmf9wrlzwqlztjz,0.16,848308,1,10
Leviathan,Active,terravaloper1j732suztf853vu24pkft2rjct8f55g7vw2w3kd,terra1j732suztf853vu24pkft2rjct8f55g7vw9zvx7,0.53,2767561,0.9999,10
RuneTerra,Active,terravaloper1ettjrqla8cpmx0wvdurjynn7776gurx5yp9pe4,terra1ettjrqla8cpmx0wvdurjynn7776gurx5ywfufx,0.62,3266715,1,20
🔥 LUNC DAO 🔥,Active,terravaloper1tz203ptlsfs8c63f2j0d0872pt5frjrvtfg0vd,terra1tz203ptlsfs8c63f2j0d0872pt5frjrvtxyju7,1.31,7006488,99,10
Sarah Kerrigan,Active,terravaloper1a4us48c6q5tnew0an0283j3zz8pvqry993wzxm,terra1a4us48c6q5tnew0an0283j3zz8pvqry997zlkg,0.4,2158050,1,10
StakeMachine,Active,terravaloper18kele3jy20uu8ezm8ylcp9tcsqhaup0rt25uu5,terra18kele3jy20uu8ezm8ylcp9tcsqhaup0rt9cpv8,0.17,915172,50,10
